term,coefficient,direction
fun,3.9646938142724557,Recommended
good,3.196918274051366,Recommended
love,2.9067400805796764,Recommended
friends,2.494062096949836,Recommended
great,2.4940294717292977,Recommended
best,2.4782822716225805,Recommended
starve,2.1096997889612434,Recommended
nice,1.9829254619062262,Recommended
amazing,1.9247847138375969,Recommended
cool,1.8759900271136285,Recommended
love this,1.6926120042073087,Recommended
good game,1.6758087555201193,Recommended
yes,1.5315764374885912,Recommended
survival,1.4746159835384014,Recommended
with,1.4650753249138302,Recommended
it's,1.4562799884314315,Recommended
great game,1.4343731326628602,Recommended
with friends,1.433729646686705,Recommended
love it,1.4056525276296616,Recommended
the best,1.378346942626557,Recommended
not,-4.560270925283106,Not recommended
boring,-4.142783789044404,Not recommended
no,-3.5194417556964575,Not recommended
trash,-3.142302597041636,Not recommended
bad,-2.7357251890233147,Not recommended
too,-2.3757055675042764,Not recommended
worst,-2.3560553968703086,Not recommended
ahh,-2.3480532894767583,Not recommended
friendslop,-2.139547313483492,Not recommended
do not,-1.9386074759604772,Not recommended
why,-1.928370287257998,Not recommended
nah,-1.9060651478975263,Not recommended
just,-1.869711774643057,Not recommended
even,-1.7798454604582994,Not recommended
bum,-1.7405362081412243,Not recommended
overrated,-1.726432214229002,Not recommended
ds,-1.7167231366422877,Not recommended
was,-1.6937232974873768,Not recommended
design,-1.6466225056346486,Not recommended
hate,-1.6359124861524321,Not recommended
