term,coefficient
not,-4.560270925283106
boring,-4.142783789044404
no,-3.5194417556964575
trash,-3.142302597041636
bad,-2.7357251890233147
too,-2.3757055675042764
worst,-2.3560553968703086
ahh,-2.3480532894767583
friendslop,-2.139547313483492
do not,-1.9386074759604772
why,-1.928370287257998
nah,-1.9060651478975263
just,-1.869711774643057
even,-1.7798454604582994
bum,-1.7405362081412243
overrated,-1.726432214229002
ds,-1.7167231366422877
was,-1.6937232974873768
design,-1.6466225056346486
hate,-1.6359124861524321
