term,coefficient
fun,3.9646938142724557
good,3.196918274051366
love,2.9067400805796764
friends,2.494062096949836
great,2.4940294717292977
best,2.4782822716225805
starve,2.1096997889612434
nice,1.9829254619062262
amazing,1.9247847138375969
cool,1.8759900271136285
love this,1.6926120042073087
good game,1.6758087555201193
yes,1.5315764374885912
survival,1.4746159835384014
with,1.4650753249138302
it's,1.4562799884314315
great game,1.4343731326628602
with friends,1.433729646686705
love it,1.4056525276296616
the best,1.378346942626557
