term,positive_review_rate,negative_review_rate,difference_pp
not worth,0.0,1.9138755980861244,-1.9138755980861244
not recommend,0.07329587099926704,1.674641148325359,-1.6013452773260919
not fun,0.09772782799902273,1.674641148325359,-1.5769133203263361
new player,0.21988761299780113,1.674641148325359,-1.4547535353275578
no tutorial,0.07329587099926704,1.4354066985645932,-1.3621108275653262
there's no,0.1221597849987784,1.4354066985645932,-1.313246913565815
not buy,0.0,1.1961722488038278,-1.1961722488038278
waste time,0.048863913999511364,1.1961722488038278,-1.1473083348043165
does not,0.2931834839970682,1.4354066985645932,-1.142223214567525
no reason,0.07329587099926704,1.1961722488038278,-1.1228763778045607
not bad,0.17102369899828976,1.1961722488038278,-1.025148549805538
gameplay loop,0.19545565599804546,1.1961722488038278,-1.0007165928057824
fun not,0.19545565599804546,1.1961722488038278,-1.0007165928057824
relaxed mode,0.07329587099926704,0.9569377990430622,-0.8836419280437952
no way,0.1221597849987784,0.9569377990430622,-0.8347780140442838
no idea,0.3909113119960909,1.1961722488038278,-0.8052609368077368
not good,0.19545565599804546,0.9569377990430622,-0.7614821430450167
hunger sanity,0.19545565599804546,0.9569377990430622,-0.7614821430450167
long time,0.21988761299780113,0.9569377990430622,-0.7370501860452611
positive reviews,0.0,0.7177033492822966,-0.7177033492822966
