term,positive_review_rate,negative_review_rate,difference_pp
not,6.69435621793304,28.22966507177041,-21.53530885383737
no,3.176154409968235,16.507177033492837,-13.331022623524603
time,5.423894453945749,13.397129186602868,-7.973234732657119
boring,0.4642071829953579,7.655502392344495,-7.191295209349137
bad,0.8306865379916933,7.416267942583729,-6.585581404592036
make,2.565355484974345,8.133971291866025,-5.56861580689168
way,2.1255802589787445,7.655502392344495,-5.5299221333657504
gameplay,2.2477400439775224,6.459330143540668,-4.2115900995631455
want,1.8323967749816774,5.980861244019136,-4.148464469037459
didn't,0.9528463229904721,5.0239234449760755,-4.071077121985604
can't,1.075006107989251,4.784688995215309,-3.7096828872260583
worst,0.1221597849987784,3.827751196172248,-3.7055914111734696
tried,0.4886391399951136,4.066985645933014,-3.5783465059379
instead,0.5130710969948693,4.066985645933014,-3.5539145489381445
single,0.757390666992426,4.306220095693779,-3.548829428701353
people,1.8079648179819219,5.263157894736841,-3.455193076754919
feels,1.36818959198632,4.784688995215309,-3.4164994032289893
tutorial,0.4642071829953579,3.827751196172248,-3.36354401317689
progress,0.5863669679941363,3.827751196172248,-3.2413842281781116
understand,0.610798924993892,3.827751196172248,-3.216952271178356
