term,positive_review_rate,negative_review_rate,difference_pp
fun friends,3.0784265819692127,0.7177033492822966,2.360723232686916
best survival,1.2460298069875413,0.0,1.2460298069875413
learning curve,1.172733935988274,0.4784688995215311,0.6942650364667429
highly recommend,0.6596628389934033,0.0,0.6596628389934033
great friends,0.6352308819936476,0.0,0.6352308819936476
super fun,0.610798924993892,0.0,0.610798924993892
pretty fun,0.610798924993892,0.0,0.610798924993892
hard fun,0.537503053994625,0.0,0.537503053994625
lot fun,0.537503053994625,0.0,0.537503053994625
better friends,0.5130710969948693,0.0,0.5130710969948693
tim burton,0.43977522599560226,0.0,0.43977522599560226
hand drawn,0.41534326899584656,0.0,0.41534326899584656
pretty good,0.41534326899584656,0.0,0.41534326899584656
love art,0.36647935499633516,0.0,0.36647935499633516
time friends,0.36647935499633516,0.0,0.36647935499633516
fun survival,0.5863669679941363,0.23923444976076555,0.34713251823337077
good fun,0.3420473979965795,0.0,0.3420473979965795
especially friends,0.3420473979965795,0.0,0.3420473979965795
fun hard,0.3176154409968238,0.0,0.3176154409968238
best friends,0.2931834839970682,0.0,0.2931834839970682
