review_month,total_reviews,positive_reviews,negative_reviews,positive_rate,previous_month_positive_rate,positive_rate_change_pp,review_volume_rank
2025-11,372,366,6,98.39,,,8
2025-12,484,437,47,90.29,98.39,-8.1,4
2026-01,421,381,40,90.5,90.29,0.21,5
2026-02,402,359,43,89.3,90.5,-1.2,7
2026-03,365,330,35,90.41,89.3,1.11,9
2026-04,498,453,45,90.96,90.41,0.55,3
2026-05,418,377,41,90.19,90.96,-0.77,6
2026-06,799,722,77,90.36,90.19,0.17,1
2026-07,699,623,76,89.13,90.36,-1.23,2
2026-08,53,45,8,84.91,89.13,-4.22,10
